City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
156,maues,BR,76.95,overcast clouds,-3.3836,-57.7186,
157,gharghoda,IN,61.79,broken clouds,22.1667,83.35,
160,sao sebastiao,BR,71.83,broken clouds,-23.76,-45.4097,
161,paris,FR,55.15,light rain,48.8534,2.3488,
163,kavieng,PG,81.95,overcast clouds,-2.5744,150.7967,
164,bambous virieux,MU,78.22,few clouds,-20.3428,57.7575,
165,acapulco,MX,78.62,clear sky,16.8634,-99.8901,
167,mtwara,TZ,83.53,scattered clouds,-10.2667,40.1833,
170,yangjiang,CN,55.85,clear sky,21.85,111.9667,
171,ponta do sol,PT,73.0,clear sky,32.6667,-17.1,
172,bluff,NZ,55.65,overcast clouds,-46.6,168.3333,
173,bijie,CN,38.16,overcast clouds,27.3125,105.2942,
174,porto novo,BJ,85.82,broken clouds,6.4965,2.6036,
179,kalianget,ID,79.74,light rain,-7.05,113.9333,
180,alofi,NU,73.29,light rain,-19.0595,-169.9187,
184,pocao de pedras,BR,87.64,broken clouds,-4.6667,-44.85,
185,rio grande,BR,84.31,few clouds,-32.035,-52.0986,
186,praia da vitoria,PT,64.65,few clouds,38.7333,-27.0667,
187,taoudenni,ML,75.96,clear sky,22.6783,-3.9836,
190,bairiki,KI,80.6,broken clouds,1.3292,172.9752,
191,esqueda,MX,56.43,clear sky,30.7167,-109.5833,
192,shingu,JP,37.22,scattered clouds,33.7333,135.9833,
193,san patricio,US,60.66,scattered clouds,28.017,-97.5169,
195,komsomolskiy,UZ,36.32,fog,40.4272,71.7189,
197,kloulklubed,PW,75.7,overcast clouds,7.0419,134.2556,
199,constantine,DZ,56.61,scattered clouds,36.365,6.6147,
201,nouakchott,MR,89.53,clear sky,18.0858,-15.9785,
202,kalaswala,PK,48.16,few clouds,32.2009,74.6491,
206,luena,AO,62.98,overcast clouds,-11.7833,19.9167,
207,sehore,IN,66.47,clear sky,23.2,77.0833,
208,merauke,ID,79.72,overcast clouds,-8.4667,140.3333,
209,baiao,BR,81.36,overcast clouds,-2.7906,-49.6717,
213,meulaboh,ID,78.04,broken clouds,4.1363,96.1285,
214,chiredzi,ZW,73.02,scattered clouds,-21.05,31.6667,
215,tabas,IR,48.42,broken clouds,33.5959,56.9244,
216,cap malheureux,MU,78.48,overcast clouds,-19.9842,57.6142,
218,methoni,GR,56.21,clear sky,36.8197,21.7049,
219,sao joao da barra,BR,78.89,broken clouds,-21.6403,-41.0511,
220,dingle,PH,75.11,overcast clouds,10.9995,122.6711,
221,kamra,PK,44.96,clear sky,33.7473,73.5111,
222,kirakira,SB,80.42,overcast clouds,-10.4544,161.9205,
225,andijon,UZ,36.68,overcast clouds,40.7821,72.3442,
227,paita,PE,76.23,broken clouds,-5.0892,-81.1144,
228,esna,EG,61.68,broken clouds,25.2934,32.554,
229,callaguip,PH,71.29,overcast clouds,18.0714,120.4867,
230,miandrivazo,MG,75.94,overcast clouds,-19.5167,45.4667,
231,kologriv,RU,33.13,overcast clouds,58.8275,44.3178,
232,tomar,PT,64.42,overcast clouds,39.602,-8.4092,
233,joaima,BR,77.94,overcast clouds,-16.6542,-41.0306,
234,faanui,PF,80.38,light rain,-16.4833,-151.75,
239,santa cruz del sur,CU,83.59,light rain,20.7147,-77.9956,
241,havelock,US,64.38,mist,34.8791,-76.9013,
242,kabo,CF,81.79,broken clouds,7.6994,18.629,
243,buala,SB,79.43,moderate rain,-8.145,159.5921,
244,avera,US,44.11,overcast clouds,33.194,-82.5271,
246,port lincoln,AU,60.62,broken clouds,-34.7333,135.8667,
247,kahului,US,69.84,clear sky,20.8947,-156.47,
248,lagoa,PT,59.63,overcast clouds,39.05,-27.9833,
249,maridi,SS,83.95,broken clouds,4.9158,29.4742,
251,salalah,OM,77.09,scattered clouds,17.0151,54.0924,
252,diamantino,BR,88.3,overcast clouds,-14.4086,-56.4461,
253,arlit,NE,68.4,few clouds,18.7369,7.3853,
254,tenosique,MX,79.65,clear sky,17.4833,-91.4333,
256,coquimbo,CL,67.73,clear sky,-29.9533,-71.3436,
257,zaraza,VE,88.25,few clouds,9.3503,-65.3245,
258,manggar,ID,80.26,overcast clouds,-2.8833,108.2667,
259,nizza monferrato,IT,56.28,overcast clouds,44.7738,8.3539,
260,valparaiso,CL,80.83,clear sky,-33.0393,-71.6273,
261,barra patuca,HN,82.69,clear sky,15.8,-84.2833,
263,washim,IN,69.98,clear sky,20.1,77.15,
264,mayo,US,41.95,moderate rain,38.8876,-76.5119,
265,northam,GB,51.39,overcast clouds,51.0333,-4.2167,
266,torbay,CA,32.58,broken clouds,47.6666,-52.7314,
267,jucas,BR,88.38,overcast clouds,-6.5253,-39.5275,
269,samarai,PG,83.08,overcast clouds,-10.6167,150.6667,
270,dahuk,IQ,48.25,few clouds,36.8695,42.994,
271,sao filipe,CV,78.06,clear sky,14.8961,-24.4956,
274,santa isabel do rio negro,BR,82.4,broken clouds,-0.4139,-65.0192,
275,loudi,CN,45.68,overcast clouds,27.7344,111.9944,
279,konevo,RU,33.04,overcast clouds,62.1215,39.3192,
281,hervey bay,AU,70.84,overcast clouds,-25.2986,152.8535,
282,riyadh,SA,69.94,overcast clouds,24.6877,46.7219,
283,marawi,PH,68.49,heavy intensity rain,7.9986,124.2928,
285,necochea,AR,88.66,broken clouds,-38.5473,-58.7368,
287,caravelas,BR,75.51,heavy intensity rain,-17.7125,-39.2481,
289,morgantown,US,42.31,overcast clouds,39.6295,-79.9559,
292,lepe,ES,63.1,clear sky,37.2548,-7.2043,
293,sarangani,PH,83.16,scattered clouds,5.4033,125.4636,
294,keti bandar,PK,71.4,clear sky,24.1447,67.4497,
296,san nicolas,PH,70.63,overcast clouds,18.1725,120.5953,
298,goderich,CA,37.9,overcast clouds,43.7501,-81.7165,
299,vallenar,CL,87.82,clear sky,-28.5708,-70.7581,
300,burgersdorp,ZA,80.53,broken clouds,-30.9977,26.3286,
301,kavaratti,IN,81.63,scattered clouds,10.5669,72.642,
302,palmerston,AU,80.58,heavy intensity shower rain,-12.486,130.9833,
303,rzhyshchiv,UA,33.67,overcast clouds,49.9689,31.0463,
304,jacareacanga,BR,75.06,overcast clouds,-6.2222,-57.7528,
306,russell,US,47.48,overcast clouds,32.3502,-85.1999,
308,vega de alatorre,MX,74.44,clear sky,20.0333,-96.6333,
309,kalakamati,BW,69.28,clear sky,-20.5929,27.3121,
310,port macquarie,AU,64.89,light rain,-31.4333,152.9167,
313,butajira,ET,65.39,overcast clouds,8.1167,38.3667,
314,dwarka,IN,72.68,clear sky,22.2394,68.9678,
315,diego de almagro,CL,82.69,clear sky,-26.3667,-70.05,
317,tela,HN,79.03,overcast clouds,15.7833,-87.45,
319,teahupoo,PF,73.36,light rain,-17.8333,-149.2667,
320,changde,CN,43.07,overcast clouds,29.0464,111.6783,
321,barddhaman,IN,64.45,scattered clouds,23.25,87.85,
323,cabo san lucas,MX,73.51,clear sky,22.8909,-109.9124,
324,arcelia,MX,83.95,clear sky,18.2833,-100.2667,
325,grand-lahou,CI,82.56,scattered clouds,5.1367,-5.0242,
327,constitucion,CL,68.4,few clouds,-35.3333,-72.4167,
328,araxa,BR,80.56,clear sky,-19.5933,-46.9406,
329,santiago,CL,83.55,clear sky,-33.4569,-70.6483,
330,kruisfontein,ZA,73.96,clear sky,-34.0033,24.7314,
332,vila franca do campo,PT,65.19,light rain,37.7167,-25.4333,
333,aves,PT,61.34,overcast clouds,41.3703,-8.4101,
334,san vicente,AR,83.55,scattered clouds,-26.6167,-54.1333,
335,shahr-e babak,IR,43.05,clear sky,30.1165,55.1186,
337,port pirie,AU,65.97,broken clouds,-33.1833,138.0167,
338,utete,TZ,74.8,light rain,-7.986,38.758,
339,roebourne,AU,77.27,clear sky,-20.7833,117.1333,
342,calamar,CO,89.2,few clouds,10.2511,-74.9146,
343,kalmunai,LK,75.27,overcast clouds,7.4167,81.8167,
344,worcester,US,35.56,few clouds,42.3334,-71.8328,
347,bethel,US,39.88,few clouds,41.3712,-73.414,
348,adrar,MR,77.11,clear sky,20.5022,-10.0711,
349,flinders,AU,61.18,overcast clouds,-34.5833,150.8552,
350,tonj,SS,87.26,overcast clouds,7.2737,28.6822,
352,cidreira,BR,74.07,clear sky,-30.1811,-50.2056,
354,tura,IN,58.71,few clouds,25.5198,90.2201,
355,luganville,VU,79.88,overcast clouds,-15.5333,167.1667,
358,leer,DE,45.97,broken clouds,53.2316,7.461,
360,fare,PF,80.2,light rain,-16.7,-151.0167,
362,bandarbeyla,SO,77.52,scattered clouds,9.4942,50.8122,
363,marzuq,YE,62.31,few clouds,14.4,46.4667,
364,hasaki,JP,46.8,scattered clouds,35.7333,140.8333,
365,belmonte,BR,80.37,moderate rain,-15.8631,-38.8828,
366,ishinomaki,JP,41.25,broken clouds,38.4167,141.3,
368,vila velha,BR,78.75,overcast clouds,-20.3297,-40.2925,
370,uruzgan,AF,36.86,clear sky,32.8333,66.0,
371,faya,SA,59.11,clear sky,18.3851,42.4509,
372,namatanai,PG,78.93,light rain,-3.6667,152.4333,
375,vatne,NO,35.44,light snow,62.5667,6.65,
376,moree,AU,76.6,light rain,-29.4667,149.85,
378,cabedelo,BR,86.67,overcast clouds,-6.9811,-34.8339,
380,hluti,SZ,67.64,clear sky,-27.2167,31.6167,
382,geraldton,AU,66.61,clear sky,-28.7667,114.6,
383,pasighat,IN,63.07,broken clouds,28.0667,95.3333,
384,ovalle,CL,87.01,clear sky,-30.5983,-71.2003,
385,acarau,BR,84.79,light rain,-2.8856,-40.12,
386,buchanan,LR,82.71,overcast clouds,5.8808,-10.0467,
387,luau,AO,65.25,light rain,-10.7073,22.2247,
388,camacha,PT,65.62,scattered clouds,33.0833,-16.3333,
389,balabac,PH,80.33,overcast clouds,7.9868,117.0645,
390,comodoro rivadavia,AR,73.26,clear sky,-45.8667,-67.5,
391,sao miguel do araguaia,BR,79.57,overcast clouds,-13.275,-50.1628,
392,wanning,CN,61.93,overcast clouds,18.8003,110.3967,
393,monte alegre,BR,82.15,moderate rain,-2.0078,-54.0692,
395,kutum,SD,71.24,overcast clouds,14.2,24.6667,
396,kaka,TM,38.86,overcast clouds,37.3482,59.6143,
397,somanda,TZ,66.36,moderate rain,-3.3667,33.95,
398,sola,VU,82.94,broken clouds,-13.8833,167.55,
399,lucapa,AO,65.97,light rain,-8.4192,20.7447,
400,torrington,US,39.18,overcast clouds,41.8007,-73.1212,
401,aloleng,PH,75.7,overcast clouds,16.1307,119.7824,
402,arusha,TZ,74.97,broken clouds,-3.3667,36.6833,
403,palmer,US,40.64,broken clouds,42.1584,-72.3287,
405,pisco,PE,73.45,clear sky,-13.7,-76.2167,
